"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T1537","Ensure that the 'back_idle' position of the character displays the correct images","Cinipa Alexandru","C7","","","120s","120s","400s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Other","Demo 1.2"
"T1538","Ensure that the 'front_idle' position of the character displays the correct images","Cinipa Alexandru","C8","","","120s","120s","350s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Other","Demo 1.2"
"T1539","Ensure that the 'left_idle' position of the character displays the correct images","Cinipa Alexandru","C9","","","120s","120s","420s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Other","Demo 1.2"
"T1540","Ensure that the 'right_idle' position of the character displays the correct images","Cinipa Alexandru","C10","","","120s","120s","436s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Destructive","Demo 1.2"
"T1541","Ensure that the 'back_run' position of the character displays the correct images","Cinipa Alexandru","C11","","","120s","120s","465s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Other","Demo 1.2"
"T1542","Ensure that the 'front_run' position of the character displays the correct images","Cinipa Alexandru","C12","","","120s","120s","463s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Acceptance","Demo 1.2"
"T1543","Ensure that the 'left_run' position of the character displays the correct images","Cinipa Alexandru","C13","","","120s","120s","330s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Other","Demo 1.2"
"T3815","Ensure that the 'right_run' position of the character displays the correct images","Cinipa Alexandru","C2319","","","120s","120s","120s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Character assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Other","Demo 1.2"
"T1548","Ensure that the environmental assets accurately display the corresponding images in accordance with the game's sprites","Cinipa Alexandru","C18","","","600s","900s","643s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Enviroment assets","1","","Passed","Cinipa Alexandru","4/21/2024 12:08 AM","Usability","Demo 1.2"
"T3842","Verify that the time position is accurately displayed.","Cinipa Alexandru","C2328","","","300s","120s","240s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","UI","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Usability","Demo 1.2"
